ライブ,,,,,,,,
,,,,,,,,
,,ライブ,,詳細,,,,
,No,ライブ名,開始日,セトリ,アンコール,日程,会場,都道府県
,10,「ZUTOMAYO PLUGLESS」at. ビルボードライブ,2022/03/18,蹴っ飛ばした毛布，脳裏上のクラッカー，夜中のキスミ，琥珀色の街、上海蟹の朝，ばかじゃないのに，Dear.Mr.F，マリンブルーの庭園，ろんりねす，袖のキルト，秒針を噛む，お勉強しといてよ,-,2022/03/18，2022/03/20,ビルボードライブ大阪，ビルボードライブ東京,大阪、東京
,11,Z FACTORY「鷹は飢えても踊り忘れず」,2022/04/16,,,,,
,12,GAME CENTER TOUR 『テクノプア』,2022/09/30,,,,,
,13,ROAD GAME『テクノプア』~叢雲のつるぎ~,2023/01/14,,,,,
,14,活動5年プレミアム『元素どろ団子TOUR』,2023/04/20,,,,,
,15,原始五年巡回公演「喫茶・愛のペガサス」,2023/09/21,,,,,
,16,HOT STUFF PROMOTION 45th Anniversary　恋のダビング - 実録！幻の五香粉を求めて -,2023/11/29,,,,,
,17,原始五年巡回公演「喫茶・愛のペガサス」沖縄出張所,2024/01/13,,,,,
,18,浮現祭 Emerge fest 2024,2024/02/25,,,,,
,19,ZUTOMAYO INTENSE IN TAIPEI,2024/02/27,,,,,
,20,ZUTOMAYO INTENSE IN SHANGHAI,2024/03/20,,,,,
,21,本格中華喫茶・愛のペガサス ～羅武の香辛龍～,2024/05/04,,,,,
,22,ZUTOMAYO INTENSE IN HONG KONG,2024/06/11,,,,,
,23,ZUTOMAYO INTENSE IN SEOUL,2024/06/15,,,,,
,24,やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～,2024/10/05,,,,,
